subject_id,scenario,task,channel,subband,mav,variance,baseline_power,task_power,erd_ers_pct,chain_ratio_mav,chain_ratio_variance,chain_sequence_mav,chain_sequence_variance,scenario_id
id1,scenario1,Thinking,C3,Low_Beta,2.781926162,1.491422033e-05,0.0310036087,0.01828746488,-410150.4422,0.4762,0.4643,10101001001011100110010001001010010111111011000110000101011010010100110111000110001,10101001001011100100010001001010010111111011000110000101011010010100110111000110001,1
id1,scenario1,Thinking,C3,Mu,3.048139877,1.812003521e-05,0.06957522087,0.019152388450000002,-724724.0008,0.5476,0.5714,101011001001010101101010101110010011111101011000110110001011100011101110010100111001,101011001011010101101010101110010011111101011000110110001011100011101110110100111001,1
id1,scenario1,Thinking,C4,High_Beta,17.03752668,0.0005088294842,0.03740759465,0.008441911784,-774326.2602,0.5714,0.5714,10010111111011011010011100100100010111101010100110010111111101010001111100110110001,10010111111011011010011000100100010111111010100110010111111101010001111100110110001,1
id1,scenario1,Thinking,C4,Low_Beta,4.548446369,3.613534024e-05,0.019627980059999998,0.007154531168999999,-635493.2526,0.5238,0.5476,10011010010101010100101100010000001111111010000110001111111111011010111110010100001,10011010010101010100101100010010001111111011000110001111111111011010111110010100001,1
id1,scenario1,Thinking,C4,Mu,5.605410449,5.334165125e-05,0.06110073489,0.006664856677,-890920.1880000001,0.5714,0.5714,10101001110001101110110010110100001111101011000110111001111011011011110100110101001,10101000110011101110110010110100001111101011000110111001111011011011110100110101001,1
id1,scenario1,Thinking,CZ,High_Beta,14.12323247,0.0003764201811,0.03442384642,0.014708918040000001,-572711.374,0.5476,0.5714,101011001001011001001101010110100010111101010100110010111011101010010111011110110001,101011001001011001001101011110100010111111010100110010111011101010001111011110110001,1
id1,scenario1,Thinking,CZ,Low_Beta,4.450526934,3.275903869e-05,0.01577403631,0.01134911701,-280519.153,0.5,0.5119,10011100011101010100011010110010010111111011000110000101011010010001110101010110001,10011100011101010100011010110010010111111011000110000101011010011001110101010110001,1
id1,scenario1,Thinking,CZ,Mu,5.355470865,4.458733684e-05,0.035030211650000004,0.01125322095,-678756.6954000001,0.5,0.5238,1101101000111101100100101110000010111101011000110110001011010010000110100110111001,1101101000111101100100101110000011111101011000110110001011010010100110100110111001,1
id1,scenario2,Resting,C3,High_Beta,4.768486319,0.0001118458638,,,,0.5151,0.5117,1001010101101001011011010011011001010001000110011010111001101011010010100111000110100011100110001000101101101110110010010001011001000110010101011001001001000111011000011101100110011010010110010011010110101111100001011011001110101110100000011101000100111010100011101111111011001011111111100110100011,1001010101101001011011010011011001010001000110011010111001101011010010100101010110100011100110001000101101101110110010010001011001000110010101011000001001000111011000011101100110011011010110010011010110101110100001011011001110101110100000011101000100111010100011101111111011001011111101110110100011,2
id1,scenario2,Resting,C3,Low_Beta,4.775144608,8.795059585e-05,,,,0.5151,0.5184,1011000101110001001010100001011011010101100110111010110101001010110010110010100010100111000110001110101101001101010011010000011001100110011101011001001000010101010010101010101100011010010110110111110110111111100001111011001101101110100000001001001100011010010111000111110011100011111101110110100011,1011000101110001001010100001011011010001100110111010110101001010110010111010100010100111000110001110101101001101010011010000011001100110011101011001001000010101010010101010101100011010010110110111110110111111100001111011001101101110100000001001001100011010010111000111110011101011111101110110100011,2
id1,scenario2,Resting,C3,Mu,5.059984854,7.253137787e-05,,,,0.5485,0.5351,11001010111010001001001100111011001010101100110011000110101001011000010101110101010110111000110001010101011001100110111011010011001101011011101001001011001011010011010011010111100110110001011010101110100111111100001111011001110101100100000001101001110101001110101001111111011100001111111100110110111,11001010111010001001001100111011000010101100110011000110101001011000010101110101010110111000110001010101011101100110111011010011001100011011101001001011001011010011010101010111100110110001001010101110110111111100001111011001100101100100000001101001110101001110101000111111011100001111101100110110111,2
id1,scenario2,Resting,C4,High_Beta,6.775944248,0.000201026006,,,,0.5351,0.5251,100100101110011011010110011001011011011100110011010110101101011101010110101011010111011000110001101001011001110110010001001011010000111011100011001011000110011000101001001101011010100110001011111110110101111100001011011100011001011000110010110010100110101100101101111111011000011111001100100110011,100100111010001011010110011001011010011100110011000110101101011101010110101011010111011100110000101001011001110110010001001011010000111011100011001011000110011000101001001101011010100110001011111110110101111100001011011100011001011000110010110010100110101100101101111111011000011111001100100110011,2
id1,scenario2,Resting,C4,Low_Beta,5.739713728,8.559217731e-05,,,,0.4983,0.5117,10100010111101011001010110011001011001011000110111010110101001011010010110110001010111011000110001100001011001001111110001000011010000011001101011011001000100101001010001011001100010001011100110011110110111111100001011011100110001011000100110110011101001000110101000111110011000011111001100100100011,10100010111101011001010110011001011001011000110111010110101001011010010110100001010111011100110001100001011001001111110001010011010000011001101011011001000110101001010001011001101010001011100110011110110111111100001011011100111001011000100110110011101011000010101000111110011000011111001100100100011,2
id1,scenario2,Resting,C4,Mu,8.009283497,0.0001725335455,,,,0.4983,0.495,101001101111001001001100011001010001011000100011000110100001011110010111010001010100011100111001110001011001100111001001011011010100011001101011001011001101001001101010110001101110100101100010111110110111111100001011011100010001011000001010110011001001010101001001111111011000011111101100100000011,101001101111001001001100011001010001011000100111000110100001011110010111010001010101011100111001110001011001100111001001011011010100011001101011001011001101001001101010110001101110100101100010111110110111111100001011011100011001011000001010010010001001010101001000111111011000011111001100100000011,2
id1,scenario2,Resting,CZ,High_Beta,4.79895066,0.0001534967512,,,,0.5217,0.505,101010101101001001001100111010011011001010100111000110100101011100010110101011010101011100110001001001101001010101010100101011101000110010110011001101000001101001000100110011001011010001100010111111100110111100001011011110110101100100000011001000101010101010101101111111011001011111111110110110111,101010101101001001011000111010011011001010100111000110100101011100010110101011010111011100110001001001101001010101010100101011101000110010110011001001000001101001000110110011001011010001100010111011000110110100001011011110110101100100000011001000101010101100101101111111011001001111101110110100111,2
id1,scenario2,Resting,CZ,Low_Beta,4.849762331,7.425248958e-05,,,,0.505,0.4983,10101010111100001011010110011010011011001010110111010111001001011100010110011001010100011000110001111001111101001001100010000010101000010011101011001001000101001100101001010111010011001010100101001110100101111100000111011011101011100100000001001010111110100100101000111110011100101111101110110100011,10101010111100001011010110011010011011001010110111010111001001011100010110011001010100011000110001111001111101001001100010000010101000010001101011001001000101001100101001010111010011001010100101001110100101111100000111011011101011100100000001001000111110100100101000111110011100101111101110110100011,2
id1,scenario2,Resting,CZ,Mu,5.932599444,0.0001084631324,,,,0.5485,0.5418,101000101111011011001101111010011011001010110111000111000001011100010111101001010110011000111001010101011001001111110010001010101001011011101001001001000101110100101101010001010011101010101100111110100111111100000111011011100111110100000001101001010110101110101001111111011100001111111100110110111,101000101111011011001101111010011011001010110111000111000001011100010111101001010110011000111001010101011001001111110010001010101101011011100001001001000101010100101101010001010011101010101100111110100111111100000111011011100111110100000001101001010110101110101000111111011100001111111100110110111,2
id1,scenario2,Thinking,C3,High_Beta,5.667414316,0.0001847045839,0.33658076080000005,0.09250725952000001,-725155.831,0.4878,0.4756,10110001001010000101101111010100001100101010101011010110101011010011000101111001,10110101001010000100101101010100101100101010101011010100101011010011000101111001,2
id1,scenario2,Thinking,C3,Low_Beta,4.110266207,6.924625895e-05,0.9691107897,0.205031825,-788433.0386000001,0.4756,0.4634,1010110001000110010100100111000110011101101011011001100110101010010000000110110101,1010110001000110010100100111000110011101101011010001100110101010010000000110110101,2
id1,scenario2,Thinking,C3,Mu,6.111616826,0.0001652048513,2.452349695,0.4048785781,-834901.7765,0.5,0.5122,10110101001001101101000110100110011100111010111010100110101011010000000101111001,10110101001001101101000110100110011100111010111010101110101011010000000101111001,2
id1,scenario2,Thinking,C4,High_Beta,7.4109411,0.0002710458251,0.4247460434,0.03155641984,-925705.2059000001,0.5366,0.5244,110110010101011110101111000110100111110111010110001010110100011010001000011110001,110110010101010110101111000110100101110111010110011010110100011010001000011110001,2
id1,scenario2,Thinking,C4,Low_Beta,5.280881248,0.0001036254373,0.9575661108000001,0.04661820225,-951315.9439000001,0.5244,0.5122,11110110100111010100111100100110011110111010111001100110101010010000000110100101,11110110100111010100111100000110011110111010111001100110101010010000000110100101,2
id1,scenario2,Thinking,C4,Mu,5.394629638,0.0001057977516,1.817120807,0.08484617894999999,-953307.3537999999,0.5488,0.5244,1010110110101001001011011000110110011110111011110010110110101011010000000111101001,1010110110101001001011011000110110011100111011110010100110101011010000000111101001,2
id1,scenario2,Thinking,CZ,High_Beta,4.70244611,0.0001679554256,0.4168415981,0.036706045369999996,-911942.4608,0.5,0.5488,10110101101010101100111010010100011110101010100001010111001010010010010101111001,110110101101010101100111010010100011110101010110011010111001010110010010101111001,2
id1,scenario2,Thinking,CZ,Low_Beta,4.856669731,0.0001482393001,1.130124598,0.10290789530000001,-908941.1065999999,0.4756,0.4756,10011000100010010100111011000110111110101011010001101011101010010000000101101101,10011000100010010100111011000110111110101011010001101011101010010000000101101101,2
id1,scenario2,Thinking,CZ,Mu,4.766055452,0.0001154862916,2.4854896130000004,0.1592236317,-935938.7258,0.5122,0.5244,110111000100010101101011010110110011110111010101010111011001010010000000100111001,110111000100011101101011010110110011110111010101010111011001010010000000100111001,2
id1,scenario3,Resting,C3,High_Beta,7.801122902,0.0001485202693,,,,0.4769,0.4821,110000001001111101101010101001001011000011001110101011010110011101011001100100100001100101000101010101010110110000110110110100110001100100110001011010001100101100101101101000010011100001111010100,110000001001111101101010101001001011000011001110101011010110011001011001100100110001110101000101011101010110110000110110110100110001100100101001001110001000101100101101101000010011100001111010100,3
id1,scenario3,Resting,C3,Low_Beta,4.832168897,4.813790988e-05,,,,0.4718,0.4821,100001001100111000101010110001101010100001001010101101010110001001011010101000001101100001000101010011010100110101100100111101010001111100110111011010001100101100111010101010000111100000110011100,100001001100111000101010110001101010100000001110101101010110011001011010101000101101100001000101010011010100110101100100111101010001111100110111011010001100101100111010101010000111100000110011100,3
id1,scenario3,Resting,C3,Mu,6.064388067,7.643701247e-05,,,,0.5077,0.5026,111100101001010010101010101001101010101011001110110101110100011001011001000110101001101010101110010011010110111000110110101101010001110100110011001010001100111100101011001010010011100000110010101,111100101001011010101010101001101010101011001110110101110100011000011001000110101001101010101110010011010110111000110100101101010001110100110011001010001100111100101011001010010011100000110010101,3
id1,scenario3,Resting,C4,High_Beta,4.488198155,3.9877359e-05,,,,0.4872,0.4821,10110001001010001101010111101100101000011010110101011010101010001010001010101100101111001000011000101010100110101110100100110111001110101110001111010001100101110101001001000010011100001111010100,10110001001010001101010011101100111000011010110101011010101010001010000110101100101111101000011000101010100100101100100100110110001110101110011111010001100101110101001001000010011100001111010100,3
id1,scenario3,Resting,C4,Low_Beta,2.962759234,1.578318491e-05,,,,0.5231,0.5179,10110001101110101010101000100101010001010001010101111000101001001011001111001110101101101010011010101010110101101110110010110110011111001110001101010001100111110111101101000001011100000110011100,10111001101100101010101000100101000001010001010101111000101001001011001111001110101101101010011010101010110101101110110010110110011111001110001101010001100111110111101101000001011100000110011100,3
id1,scenario3,Resting,C4,Mu,3.263121196,2.039707048e-05,,,,0.4769,0.4769,10110001001011011001101101010100100101010010100110111101101010001010101010010100101101001101011011011010100010101010100110100110101100100100001011010001100111100110000101010010011100000110010101,10110001001011011001101001010100100101010010100110111101101010001010101010010100101101001101011011011010100010101010100110100110101100100101001011010001100111100110000011010010011100000110010101,3
id1,scenario3,Resting,CZ,High_Beta,11.3250744,0.0002978896001,,,,0.4718,0.4769,10111001101100011000010001010010100011110010100110101000100011101010010010010010100100111010011001101011010110101111010100010101100110100101101110100001100100100101001101100011011100001011010100,10111001111101011000010001010010100011110010100110101000100011101010010010000110100100111010011001101011010110100111010100110101100110100101101100100001100100100101001101100011011100001011010100,3
id1,scenario3,Resting,CZ,Low_Beta,8.119140781,0.0001352229579,,,,0.5026,0.5026,110111001101010010110111001101000101001010001000100101010110001101011011001010010100110101010011110011011010110100110000010110110100101100111101110100001100101100111001001110011011100000110011100,10111001101010010110101001101010101001010001000101101010110001101011011001010010100110101010011110011011010110100110000010110110100101100111101110100001100101100111001001110011011100000110011100,3
id1,scenario3,Resting,CZ,Mu,8.995475626,0.0001554705407,,,,0.4667,0.4615,110001001010010101101011001100110010100000100100100100011001101010011001010010100110101100101010101011010110100111000010011110010101100110101101000001100111100101010101010011111100000110010101,110001001010010101101001001100110010100000100100100100011001101010011001010010100100101100111010101011010110100111000010011110010101100110101101000001100111100101010101010011111100000110010101,3
id1,scenario3,Thinking,C3,High_Beta,2.702330442,1.813635982e-05,4.840360497,7.009668446,448170.74069999997,0.4872,0.5128,1101010111000101011010100010000101101101110001001010101010101001011011001011,1101010111000101011010101010000101101101110001001010101010111001011011001011,3
id1,scenario3,Thinking,C3,Low_Beta,1.664664989,6.085292606e-06,8.305562334000001,14.66033519,765122.5294,0.5513,0.5513,1101011011110110110011001111000011010101100011001110101110101001001011000111,1101011011110110110011001111000011010101100011001110101110101001001011000111,3
id1,scenario3,Thinking,C3,Mu,1.849646406,7.446510349e-06,13.07774511,12.9405642,-10489.645540000001,0.5769,0.5897,1101110010110010101101001111000101011011100010110101101010101101011011101111,11101110010110010101101001111000101011011100010110101101010101101011011101111,3
id1,scenario3,Thinking,C4,High_Beta,3.40206745,2.900146316e-05,1.017306857,1.392330285,368643.3692,0.4615,0.4615,1011001111000101000010111010100101100010100101110110001010101001001011001001,1011001111000101000010011010100101100010100101110110001010111001001011001001,3
id1,scenario3,Thinking,C4,Low_Beta,2.132839766,1.097485167e-05,1.322163843,1.528326117,155927.9319,0.5,0.5,101101101001010101100101101001100011010001010010110011001110101001001011001101,101101101001010101100101101001100011010001010010110011001110101001001011001101,3
id1,scenario3,Thinking,C4,Mu,2.096333111,9.885784818e-06,2.7025102050000003,2.405575992,-109873.4847,0.5128,0.5128,1100111110001010011001110011010101010010000111010101001010101101001011101011,11000111110001010011001110011010101010010000111010101001010101101001011101011,3
id1,scenario3,Thinking,CZ,High_Beta,11.47436485,0.0003194507974,6.739779546,3.714218073,-448911.04409999994,0.4615,0.5,110011010101011000100010011101111101010100101100100010101111010001010001000,110011010101011010100010011101111101010110101100100010101111011001010001000,3
id1,scenario3,Thinking,CZ,Low_Beta,11.18281961,0.0002627880318,4.709183038,1.661187145,-647245.1523,0.5385,0.5513,100110011010110011110100110010001110101001101011100101010101111111001010001100,100110011010110011110100110010011110101001101011100101010101111111001010001100,3
id1,scenario3,Thinking,CZ,Mu,10.87942112,0.0002584858268,11.473225950000002,4.503234082,-607500.6191,0.4615,0.4615,110001010110011100100110011010111100100100001000101010101111011001010010100,10110001010110011100100110011010111100100100001000101010101111001001010010100,3
id1,scenario4,Resting,C3,High_Beta,1.594918708,1.34390492e-05,,,,0.487,0.487,1010001110001111011010101001110000101010100111110100011111101001100101110010001010001110001110010100110010001001000111001001100110001101000110110001010110,1010101110001111011010101001110000101010100111110100011111101001100101110010001010001110001110000100110010001001000111001001100100001101000110110001011110,4
id1,scenario4,Resting,C3,Low_Beta,1.535426044,1.352162222e-05,,,,0.513,0.5,101010100001110001010101001111001101010001110111010011101101101001001001011001111001110011001001000101010011001100110101001110110011100100110011001011110,101010100001110001010101001111001101010001110111010011101101101001001001011001111001110001001001000101010001001100110101001110110011100100110011001011110,4
id1,scenario4,Resting,C3,Mu,1.976480405,1.529453717e-05,,,,0.526,0.5195,1011101110001100011010101001011001100111001101100100011101011101101101010011001010101110001101001100111010011001100110100001110001101011000100111101010110,1011101110001100011010101001011001100111001101100100011101011101101101010011001010101110001101001100111010011001100110100001110001001011000100111101010110,4
id1,scenario4,Resting,C4,High_Beta,2.020131772,2.668936669e-05,,,,0.461,0.5065,101101010001111011010101001110000100110100110011010111100110001001101000010011011001010000010111001100101001001000111001011100000101001010010101101010001,101101010001111011010101001110000101110100110011101111100111001001101100011011011011010000010111001100101001001000111001011101000101001010010101101010001,4
id1,scenario4,Resting,C4,Low_Beta,2.16241275,2.407166029e-05,,,,0.526,0.513,1101001001001110011010101001110001101010111101001111111100101101001111100010011011101001010010111000100010011001100110101010100001111011100100110001010011,1101001001001110011010101001110001101010111101001011111100101101001111100010011011101001000010111000100010011001100110101010100001111011100100110001010011,4
id1,scenario4,Resting,C4,Mu,2.206693704,2.236398123e-05,,,,0.5,0.5,1110101101001100001010101001010001100110100110100011111110000101001111001011001011000101001011111001100110011001100110100011001100010101001010110101010101,1110101101001100001010101001010001100110100110000011111110000101001111001011001011000101001011111001100110011001100110100011001100110101001010110101010101,4
id1,scenario4,Resting,CZ,High_Beta,4.092029418,7.92188178e-05,,,,0.474,0.474,101001100001111011010101001110000100010100110101010111101010100010101001011001010001100100010100001100101001001000111001011101100111011010010110101010011,101000100001111011010101001110000101010100110101010111101010100010101010011001010001100100010100101100101001001010111001010101100111011010010110101010001,4
id1,scenario4,Resting,CZ,Low_Beta,4.156824376,7.55892933e-05,,,,0.513,0.526,101101100001110011010101001110001101001101110000011111110011110001001101001101010001110010110101001100101001001110110101011101110010101000000110101010011,101101100001110011010101001110001101001111110000011111110011110011001101001101010001110010110101001100101001001110110101011101110010101000000110101010011,4
id1,scenario4,Resting,CZ,Mu,4.048733507,8.096092499e-05,,,,0.461,0.4416,101101100001100011010101001010001101010011110000011111100000110001001100110101101011100001100100001100101011001100110100011010101101001010000110101010001,101101100001100011010101001010001101000011110000011111100000110001001100110101101011100001100100001100101011001100110100001010101001001010000110101010001,4
id1,scenario4,Thinking,C3,High_Beta,2.714371692,1.400975827e-05,0.7499566625999999,2.132808267,1843908.686,0.4133,0.4533,100000100100010010100111001011010001101001010011001011001011010011100010,100000100100010010100111101011010011111001010011001011001011010011100010,4
id1,scenario4,Thinking,C3,Low_Beta,1.764158244,5.522171075e-06,0.7110715008,3.435496621,3831436.2440000004,0.5333,0.5333,11101010110001001010110011001011011001001011110011001111010101100011011001,11101010110001001010110011001011011001001011110011001111010101100011011001,4
id1,scenario4,Thinking,C3,Mu,2.017124052,8.136301035e-06,1.8326710810000002,17.60993742,8608891.413,0.5333,0.5333,101101010101011100101001011001010111010111001110011000111101011100000010101,101101010101011100101001011001010111010111001110011000111101011100000010101,4
id1,scenario4,Thinking,C4,High_Beta,3.402711285,2.467101078e-05,1.7538199980000002,13.78601591,6860564.896,0.5067,0.5067,110001100110110101010101001011010011100100110011001111001011010011100011,110001100110110101010101001011010011100100110011001111001011010011100011,4
id1,scenario4,Thinking,C4,Low_Beta,2.077311552,8.671613731e-06,3.1048593,19.53291227,5291078.074,0.52,0.52,11010101101110110110101001001011110000110100111010000011010101100011011001,11010101101110110110101001001011110000110100111010000011010101100011011001,4
id1,scenario4,Thinking,C4,Mu,2.397787865,1.112053514e-05,6.379186649,28.98669229,3543947.98,0.48,0.4667,101001001010010100110101011001011110000100101111011000011101011100000010101,101001001010010100100101011001011110000100101111011000011101011100000010101,4
id1,scenario4,Thinking,CZ,High_Beta,10.27935113,0.0002483648113,1.775489446,3.401858132,916011.4637,0.4533,0.48,100100101100110010101000110000111010000011010011011000011001011010011100011,110110101100110010101000111000111010000001010011011000011001011010011100011,4
id1,scenario4,Thinking,CZ,Low_Beta,7.529528176,0.0001088447931,2.359716837,5.297910968,1245146.9109999998,0.4667,0.4667,110100101100010110100100001000111110000111001011010000011010101100011011001,110100101100010110100100001000111110000111001011010000011010101100011011001,4
id1,scenario4,Thinking,CZ,Mu,8.395547701,0.0001427599747,4.982366384,17.36778446,2485850.522,0.4267,0.44,100100101000010100100101010000111011000101001011011000011101011100000010101,100100101000010100100101011000111011000101001011011000011101011100000010101,4
id1,scenario5,Resting,C3,High_Beta,5.482535646,0.0001596719806,,,,0.5698,0.5587,11101111100110000011011110110101011010011100111111010101111111111000110000010101001111110110000101110000110100101110101001010110111011111100001010010110111111001100101001011100,11101110100110000011011110010101011010011010111111010101111011111000110000010101001111111110000001110000110100101110101001010110011011111100001010010110111111001110101101011100,5
id1,scenario5,Resting,C3,Low_Beta,4.243839758,5.098559415e-05,,,,0.5251,0.5363,111101101010110000001111110010001011000101010111110010101001111111000110000000101001011110111000001110011110101010100011010011010111001111100010010110110011111001100100101010110,111101101010110000001111110010001011000101010111110010101001111111000110000000101101011111111000001110011110101010101011010010010111001111100010010110110011111001100100101010110,5
id1,scenario5,Resting,C3,Mu,5.650069068,9.83910859e-05,,,,0.5587,0.5642,10111001101000110000001111110010101010010001110111111010101101111111000110000000101101001111111000001110011110100101101011011100101111001111100011010001100011111101100100101011011,10111001101000110000001111110010101010010001110111111010101101111111000110000000101101001111111000001110011110100101101011011101101111001111100011010001100011111101100100101011011,5
id1,scenario5,Resting,C4,High_Beta,8.505770718,0.0004824929988,,,,0.514,0.5028,10110101101010111001001111100110111110000010110101010100100110111011000010010000101101111110111000011001000000100101001010110011111111110000101011010001100111111001001100000011010,10111101101010111001001111100010111110000010110101010100100110011011000010010000101000111111111000011001000000100101001010110011111111110000101011010001100111111001001100000011010,5
id1,scenario5,Resting,C4,Low_Beta,3.475707858,4.698271165e-05,,,,0.514,0.514,11010101100001111100001111100010111111000011110101010100100100111111000110010000101100011111110000111001001000100101010101011010111111110000100110010011100111111001001000000111000,11010101100001111100001111100010111111000011110101010100100100111111000110010000101100011111110000111001000000100101010101011010111111110000100110010011100111111001001000000111001,5
id1,scenario5,Resting,C4,Mu,5.100157777,9.451971231e-05,,,,0.4972,0.5028,11010101100001111100001111100010111111000001110101010100100100111111000110010000101001011111110000011001000000100101011001011010011111110000101110001110100011111001001100000110010,11010101100001111100001111100010111111000001110101010100100100111111000110010000101001011111110000011001000000100111011001011010011111110000101110001110100011111001001100000110010,5
id1,scenario5,Resting,CZ,High_Beta,3.686032756,7.786981945e-05,,,,0.486,0.4972,11101110001111101000111100110111010000000110010000010000001011001000011011010100111111110100111110101001000101011111001000100111111100000100110010001001010100111010000101101011,11101110001111101000111100010111110000001110010000011000001011001000011011010100111111110100111110101001000101011111001000100111111100000100110010011000010100111010000101101011,5
id1,scenario5,Resting,CZ,Low_Beta,3.18568422,3.105291229e-05,,,,0.5028,0.4972,111101110001111000001111100010111110000011110010000010000001111111000111010000100001111110100111110101000000101011111001101100011111100000100101010101010101100111010000101010101,111101110001111000001111100010111110000001110010000010000001111111000111010000100001111110100111110101000000101011111001101100011111100000100101010101010101100111010000101010101,5
id1,scenario5,Resting,CZ,Mu,5.494267,0.000121239031,,,,0.5307,0.5307,11001111001111100001111100010111111000001110001000011000000111111000111010010100101111110100111110101001000101011111001101100011111100000101011010101000110011111010010101001101,11001111001111100001111100010111111000001110011000011000001111111000111010000100101111110100111110101001000101011111001101100011111100000101010010101000110011111010010101001101,5
id1,scenario5,Thinking,C3,High_Beta,3.074627365,6.717595784e-05,0.0038820946990000002,8.527491512,2195621199.0,0.4595,0.5,1101110111011001100100111001000000110101011001010010000110100100101110000,1101110110011001110100101001000000110101011001011010000110110100101111010,5
id1,scenario5,Thinking,C3,Low_Beta,3.929368791,5.983457472e-05,0.0115433675,10.97062496,949383409.8,0.4189,0.4189,1101110111011001100100110000000001100010101001010010000100110101001010001,1101110111011001100100110000000001100010101001010010000100110011001010001,5
id1,scenario5,Thinking,C3,Mu,4.396202496,8.196262028e-05,0.022565486,22.622900729999998,1001544360.0,0.4054,0.4324,1101110010011001100100110001000001110100010011011000000010110100100010001,1101110111011001100100110001000000110100110011011000000010110100100010001,5
id1,scenario5,Thinking,C4,High_Beta,13.18829339,0.0004236810271,9.046428694,14.097922919999998,558396.5116,0.5,0.5,111010010101110001001001110010001101001010011010010101111111111100000001,111010010101110001101001110010001001001010011010010101111111111100000001,5
id1,scenario5,Thinking,C4,Low_Beta,13.07453094,0.0003106557027,8.88893449,32.683118990000004,2676832.024,0.5135,0.5,101010010101101001010001110011100111000110101010010111101111111100000001,101010010101101001010000110011100111000110101010010111101111111100000001,5
id1,scenario5,Thinking,C4,Mu,16.76191154,0.0005769594137,22.08880676,61.17413613,1769463.141,0.5135,0.5135,111110110101110001011000110010110111000100101010010101100111111100000001,111110110100110001011000110010110111100100101010010101100111111100000001,5
id1,scenario5,Thinking,CZ,High_Beta,14.25101148,0.0005471683107,4.062589962,2.5349619829999996,-376023.17579999997,0.5,0.527,10011001010100100001000101000101101010111111101001010010111111111110000000,10011001010100110001000101000101111010111111101001010010111111111110000000,5
id1,scenario5,Thinking,CZ,Low_Beta,10.61757472,0.0002351424744,2.882139539,4.700783567,631004.8504,0.6081,0.6216,10111111010100101001100101101101101101111111001001010110110111111110000001,10111111010100101001100101101101101111111111001001010110110111111110000001,5
